dt,future_dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
2026-03-26 00:37:53,2026-03-28 12:00:00,58,0.87,1030,8.66,1.72,2.47,500,7.37,13.98,0.27,0
2026-03-26 00:37:53,2026-03-29 13:00:00,92,0.57,1024,10.62,3.67,1.07,500,9,18.81,0.73,0
2026-03-26 00:37:53,2026-03-30 13:00:00,93,0.38,1027,12.96,7.93,0.86,500,6.85,15.73,0.52,0
2026-03-26 00:37:53,2026-03-31 13:00:00,69,0.2,1032,13.67,8.76,1,500,5.96,13.29,0.12,0
2026-03-26 00:37:53,2026-04-01 13:00:00,72,0.24,1033,12.17,7.88,1,500,4.27,7.98,0.3,0
2026-03-26 00:37:53,2026-04-02 13:00:00,70,0,1031,11.5,4.54,1,804,2.83,3.85,0,0
2026-03-26 01:37:53,2026-03-26 12:00:00,66,0.57,1023,9.95,3.09,2.98,500,5.38,13.04,0.41,0
2026-03-26 01:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 01:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 01:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 01:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 01:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 01:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 01:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 02:37:53,2026-03-26 12:00:00,66,0.57,1023,9.95,3.25,2.98,500,5.38,13.04,0.41,0
2026-03-26 02:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 02:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 02:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 02:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 02:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 02:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 02:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 03:37:53,2026-03-26 12:00:00,66,0.57,1023,9.95,3.35,2.98,500,5.38,13.04,0.41,0
2026-03-26 03:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 03:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 03:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 03:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 03:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 03:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 03:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 04:37:53,2026-03-26 12:00:00,66,0.57,1023,9.95,3.21,2.98,500,5.38,13.04,0.41,0
2026-03-26 04:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 04:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 04:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 04:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 04:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 04:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 04:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 05:37:53,2026-03-26 12:00:00,66,0.57,1023,9.95,3.37,2.98,500,5.38,13.04,0.41,0
2026-03-26 05:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 05:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 05:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 05:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 05:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 05:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 05:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 06:37:53,2026-03-26 12:00:00,66,0.57,1023,9.23,3.35,2.98,500,5.38,13.04,0.41,0
2026-03-26 06:37:53,2026-03-27 12:00:00,84,1,1019,9.85,2.09,2.38,501,6.81,12.77,4,0
2026-03-26 06:37:53,2026-03-28 12:00:00,55,0.78,1031,8.9,1.66,2.47,500,6.79,13.85,0.38,0
2026-03-26 06:37:53,2026-03-29 13:00:00,80,0.34,1027,9.81,3.26,1.07,500,8.39,17.11,0.58,0
2026-03-26 06:37:53,2026-03-30 13:00:00,84,0.2,1029,12.91,7.44,0.86,500,6.14,14.73,0.12,0
2026-03-26 06:37:53,2026-03-31 13:00:00,67,0,1031,13.63,9.87,1,803,7.46,13.07,0,0
2026-03-26 06:37:53,2026-04-01 13:00:00,90,0.2,1034,10.37,7.03,1,500,4.24,9.73,0.15,0
2026-03-26 06:37:53,2026-04-02 13:00:00,67,0,1029,13.02,6.77,1,803,5.37,11.57,0,0
2026-03-26 07:37:53,2026-03-26 12:00:00,73,0.79,1023,10.1,3.3,2.98,500,5.38,13.59,0.36,0
2026-03-26 07:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 07:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 07:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.08,16.37,0.71,0
2026-03-26 07:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 07:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 07:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
2026-03-26 07:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 08:37:53,2026-03-26 12:00:00,77,0.79,1023,10.1,3.04,2.98,500,5.38,13.59,0.36,0
2026-03-26 08:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 08:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 08:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.08,16.37,0.71,0
2026-03-26 08:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 08:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 08:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
2026-03-26 08:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 09:37:53,2026-03-26 12:00:00,80,0.79,1024,10.1,3.04,2.98,500,5.38,13.59,0.63,0
2026-03-26 09:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 09:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 09:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.08,16.37,0.71,0
2026-03-26 09:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 09:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 09:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
2026-03-26 09:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 10:37:53,2026-03-26 12:00:00,80,0.79,1024,10.1,3.04,2.98,500,5.38,13.59,0.36,0
2026-03-26 10:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 10:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 10:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.65,17.3,0.71,0
2026-03-26 10:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 10:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 10:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
